#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
130,Joe Harris,BRK,78,25.3,3.9,8.0,.491,1.9,4.6,.419,1.1,1.3,.827,1.2,2.0,0.7,2.7,3.3,1.6,0.4,0.3,10.8
131,Jeff Green,CLE,78,23.4,3.8,7.9,.477,0.7,2.2,.312,2.6,3.0,.868,1.0,1.9,0.8,2.4,3.2,1.3,0.5,0.4,10.8
132,James Johnson,MIA,73,26.6,4.2,8.4,.503,0.8,2.5,.308,1.5,2.2,.698,1.9,2.6,0.8,4.1,4.9,3.8,1.0,0.7,10.8
133,John Collins,ATL,74,24.1,4.2,7.4,.576,0.2,0.6,.340,1.8,2.5,.715,1.4,2.9,2.4,4.9,7.3,1.3,0.6,1.1,10.5
134,Jamal Crawford,MIN,80,20.7,3.9,9.3,.415,1.3,3.9,.331,1.3,1.4,.903,1.2,1.1,0.3,1.0,1.2,2.3,0.5,0.1,10.3
135,Greg Monroe,BOS,51,20.4,4.3,7.6,.565,0.0,0.0,.000,1.7,2.3,.739,1.8,1.9,2.1,4.7,6.9,2.2,0.9,0.5,10.3
136,Yogi Ferrell,DAL,82,27.8,3.8,8.9,.426,1.6,4.4,.373,1.0,1.3,.796,1.0,1.9,0.3,2.7,3.0,2.5,0.8,0.1,10.2
137,D.J. Augustin,ORL,75,23.5,3.3,7.2,.452,1.5,3.6,.419,2.2,2.5,.868,1.6,1.3,0.4,1.7,2.1,3.8,0.7,0.0,10.2
138,Marcus Smart,BOS,54,29.9,3.5,9.5,.367,1.4,4.6,.301,1.8,2.5,.729,2.4,2.5,0.8,2.7,3.5,4.8,1.3,0.4,10.2
139,Denzel Valentine,CHI,77,27.2,3.9,9.4,.417,1.9,4.8,.386,0.5,0.7,.745,1.3,2.4,0.6,4.5,5.1,3.2,0.8,0.1,10.2
140,Pau Gasol,SAS,77,23.5,3.7,8.1,.458,0.6,1.6,.358,2.1,2.7,.756,1.4,1.6,1.7,6.4,8.0,3.1,0.3,1.0,10.1
141,Patty Mills,SAS,82,25.7,3.4,8.3,.411,1.9,5.0,.372,1.3,1.4,.890,1.3,1.6,0.3,1.6,1.9,2.8,0.7,0.1,10.0
142,C.J. Miles,TOR,70,19.1,3.2,8.6,.379,2.3,6.5,.361,1.2,1.4,.835,0.6,1.9,0.3,1.9,2.2,0.8,0.5,0.3,10.0
143,Wilson Chandler,DEN,74,31.7,3.8,8.5,.445,1.2,3.3,.358,1.2,1.5,.772,1.2,2.1,1.4,4.0,5.4,2.2,0.6,0.5,10.0
144,George Hill,CLE,67,27.0,3.5,7.7,.460,1.3,3.1,.415,1.6,2.1,.786,1.3,1.9,0.6,2.1,2.7,2.8,0.9,0.4,10.0
145,Dewayne Dedmon,ATL,62,24.9,4.0,7.7,.524,0.8,2.3,.355,1.1,1.4,.779,1.4,2.6,1.6,6.3,7.9,1.5,0.6,0.8,10.0
